"Date Time, GMT-10:00","Temp, °C (LGR S/N: 21236990, SEN S/N: 21236990)","Intensity, Lux (LGR S/N: 21236990, SEN S/N: 21236990)"
23-03-01 10:54:25,29.252,10.8
23-03-01 11:54:25,28.456,118.4
23-03-01 12:54:25,27.764,0.0
23-03-01 13:54:25,27.567,10.8
23-03-01 14:54:25,29.053,86.1
23-03-01 15:54:25,29.053,43.1
23-03-01 16:54:25,29.053,32.3
23-03-01 17:54:25,29.053,21.5
23-03-01 18:54:25,29.152,0.0
23-03-01 19:54:25,29.152,0.0
23-03-01 20:54:25,29.152,0.0
23-03-01 21:54:25,29.152,0.0
23-03-01 22:54:25,29.152,0.0
23-03-01 23:54:25,29.152,0.0
23-03-02 00:54:25,29.152,0.0
23-03-02 01:54:25,29.152,0.0
23-03-02 02:54:25,28.357,0.0
23-03-02 03:54:25,28.159,0.0
23-03-02 04:54:25,28.357,0.0
23-03-02 05:54:25,28.456,0.0
23-03-02 06:54:25,28.555,53.8
23-03-02 07:54:25,28.853,516.7
23-03-02 08:54:25,29.152,958.0
23-03-02 09:54:25,29.352,1550.0
23-03-02 10:54:25,29.552,2066.7
23-03-02 11:54:25,29.752,1313.2
23-03-02 12:54:25,29.652,1722.2
23-03-02 13:54:25,29.853,1722.2
23-03-02 14:54:25,29.652,1377.8
23-03-02 15:54:25,29.152,344.4
23-03-02 16:54:25,29.352,430.6
23-03-02 17:54:25,29.152,53.8
23-03-02 18:54:25,29.152,0.0
23-03-02 19:54:25,29.152,0.0
23-03-02 20:54:25,29.053,0.0
23-03-02 21:54:25,29.053,0.0
23-03-02 22:54:25,29.053,0.0
23-03-02 23:54:25,29.053,0.0
23-03-03 00:54:25,29.053,0.0
23-03-03 01:54:25,29.053,0.0
23-03-03 02:54:25,29.053,0.0
23-03-03 03:54:25,29.053,0.0
23-03-03 04:54:25,29.053,0.0
23-03-03 05:54:25,29.053,0.0
23-03-03 06:54:25,29.053,118.4
23-03-03 07:54:25,29.152,613.5
23-03-03 08:54:25,28.853,645.8
23-03-03 09:54:25,29.152,344.4
23-03-03 10:54:25,29.053,398.3
23-03-03 11:54:25,29.452,1463.9
23-03-03 12:54:25,29.352,775.0
23-03-03 13:54:25,29.352,1087.2
23-03-03 14:54:25,29.152,258.3
23-03-03 15:54:25,29.252,635.1
23-03-03 16:54:25,29.053,236.8
23-03-03 17:54:25,28.853,32.3
23-03-03 18:54:25,29.152,0.0
23-03-03 19:54:25,29.152,0.0
23-03-03 20:54:25,29.152,0.0
