"Date Time, GMT-10:00","Temp, °C (LGR S/N: 21236993, SEN S/N: 21236993)","Intensity, Lux (LGR S/N: 21236993, SEN S/N: 21236993)"
23-03-08 08:40:52,27.961,0.0
23-03-08 09:40:52,28.159,226.0
23-03-08 10:40:52,30.356,1550.0
23-03-08 11:40:52,29.752,2411.1
23-03-08 12:40:52,29.053,1636.1
23-03-08 13:40:52,29.352,0.0
23-03-08 14:40:52,34.796,0.0
23-03-08 15:40:52,40.300,645.8
23-03-08 16:40:52,32.394,667.4
23-03-08 17:40:52,29.552,0.0
23-03-08 18:40:52,26.683,0.0
23-03-08 19:40:52,24.641,0.0
23-03-08 20:40:52,25.513,0.0
23-03-08 21:40:52,25.902,0.0
23-03-08 22:40:52,26.683,0.0
23-03-08 23:40:52,26.781,0.0
23-03-09 00:40:52,26.683,0.0
23-03-09 01:40:52,26.488,0.0
23-03-09 02:40:52,26.390,0.0
23-03-09 03:40:52,26.292,0.0
23-03-09 04:40:52,26.097,0.0
23-03-09 05:40:52,26.000,0.0
23-03-09 06:40:52,25.902,43.1
23-03-09 07:40:52,26.292,150.7
23-03-09 08:40:52,29.053,376.7
23-03-09 09:40:52,29.352,3100.0
23-03-09 10:40:52,29.752,8611.2
23-03-09 11:40:52,29.652,8266.7
23-03-09 12:40:52,29.552,6544.5
23-03-09 13:40:52,29.652,8266.7
23-03-09 14:40:52,29.652,7233.4
23-03-09 15:40:52,29.652,5511.1
23-03-09 16:40:52,29.352,4994.5
23-03-09 17:40:52,29.152,731.9
23-03-09 18:40:52,29.152,0.0
23-03-09 19:40:52,29.152,0.0
23-03-09 20:40:52,29.053,0.0
23-03-09 21:40:52,29.053,0.0
23-03-09 22:40:52,29.053,0.0
23-03-09 23:40:52,29.053,0.0
23-03-10 00:40:52,29.053,0.0
23-03-10 01:40:52,29.053,0.0
23-03-10 02:40:52,29.053,0.0
23-03-10 03:40:52,29.053,0.0
23-03-10 04:40:52,29.053,0.0
23-03-10 05:40:52,28.953,0.0
23-03-10 06:40:52,29.053,968.8
23-03-10 07:40:52,29.152,2066.7
23-03-10 08:40:52,29.652,5166.7
23-03-10 09:40:52,29.352,3616.7
23-03-10 10:40:52,29.252,2325.0
23-03-10 11:40:52,29.552,7577.8
23-03-10 12:40:52,29.652,6544.5
23-03-10 13:40:52,29.452,9644.5
23-03-10 14:40:52,29.552,5511.1
23-03-10 15:40:52,29.452,6200.0
23-03-10 16:40:52,29.452,5166.7
23-03-10 17:40:52,29.252,366.0
23-03-10 18:40:52,29.152,0.0
23-03-10 19:40:52,29.053,0.0
23-03-10 20:40:52,29.053,0.0
23-03-10 21:40:52,29.053,0.0
23-03-10 22:40:52,29.053,0.0
23-03-10 23:40:52,29.053,0.0
23-03-11 00:40:52,29.053,0.0
23-03-11 01:40:52,28.953,0.0
23-03-11 02:40:52,28.953,0.0
23-03-11 03:40:52,28.953,0.0
23-03-11 04:40:52,28.953,0.0
23-03-11 05:40:52,28.953,0.0
23-03-11 06:40:52,29.053,559.7
23-03-11 07:40:52,29.152,2238.9
23-03-11 08:40:52,29.252,2066.7
23-03-11 09:40:52,29.152,4477.8
23-03-11 10:40:52,29.252,3616.7
23-03-11 11:40:52,29.053,1722.2
23-03-11 12:40:52,29.152,5166.7
23-03-11 13:40:52,29.152,5166.7
23-03-11 14:40:52,29.252,4650.0
23-03-11 15:40:52,29.352,4477.8
23-03-11 16:40:52,29.053,387.5
23-03-11 17:40:52,29.053,290.6
23-03-11 18:40:52,29.053,0.0
23-03-11 19:40:52,29.053,0.0
23-03-11 20:40:52,29.053,0.0
23-03-11 21:40:52,29.053,0.0
23-03-11 22:40:52,28.953,0.0
23-03-11 23:40:52,28.953,0.0
23-03-12 00:40:52,28.953,0.0
23-03-12 01:40:52,29.053,0.0
23-03-12 02:40:52,28.953,0.0
23-03-12 03:40:52,28.853,0.0
23-03-12 04:40:52,28.853,0.0
23-03-12 05:40:52,28.853,0.0
23-03-12 06:40:52,28.953,656.6
23-03-12 07:40:52,29.152,1808.3
23-03-12 08:40:52,29.352,2927.8
23-03-12 09:40:52,29.452,3272.2
23-03-12 10:40:52,29.452,4650.0
23-03-12 11:40:52,29.452,4650.0
23-03-12 12:40:52,29.452,7577.8
23-03-12 13:40:52,29.352,7233.4
23-03-12 14:40:52,29.252,7577.8
23-03-12 15:40:52,29.152,5338.9
23-03-12 16:40:52,29.152,3100.0
23-03-12 17:40:52,29.053,796.5
23-03-12 18:40:52,28.953,0.0
23-03-12 19:40:52,28.953,0.0
23-03-12 20:40:52,28.953,0.0
23-03-12 21:40:52,28.853,0.0
23-03-12 22:40:52,28.853,0.0
23-03-12 23:40:52,28.853,0.0
23-03-13 00:40:52,28.853,0.0
23-03-13 01:40:52,28.853,0.0
23-03-13 02:40:52,28.853,0.0
23-03-13 03:40:52,28.853,0.0
23-03-13 04:40:52,28.853,0.0
23-03-13 05:40:52,28.853,0.0
23-03-13 06:40:52,28.853,452.1
23-03-13 07:40:52,29.053,1894.5
23-03-13 08:40:52,29.252,3100.0
23-03-13 09:40:52,29.452,2927.8
23-03-13 10:40:52,29.452,3961.1
23-03-13 11:40:52,29.452,5511.1
23-03-13 12:40:52,29.352,4650.0
23-03-13 13:40:52,29.252,4822.3
23-03-13 14:40:52,29.452,2066.7
