"Date Time, GMT-10:00","Temp, °C (LGR S/N: 21086839, SEN S/N: 21086839)","Intensity, Lux (LGR S/N: 21086839, SEN S/N: 21086839)"
23-03-08 12:52:34,28.754,32.3
23-03-08 13:52:34,34.796,1808.3
23-03-08 14:52:34,38.602,3100.0
23-03-08 15:52:34,35.971,26178.0
23-03-08 16:52:34,29.053,1119.5
23-03-08 17:52:34,29.152,419.8
23-03-08 18:52:34,29.152,0.0
23-03-08 19:52:34,29.053,0.0
23-03-08 20:52:34,29.053,0.0
23-03-08 21:52:34,29.053,0.0
23-03-08 22:52:34,29.053,0.0
23-03-08 23:52:34,29.053,0.0
23-03-09 00:52:34,29.053,0.0
23-03-09 01:52:34,29.053,0.0
23-03-09 02:52:34,29.053,0.0
23-03-09 03:52:34,29.053,0.0
23-03-09 04:52:34,28.953,0.0
23-03-09 05:52:34,28.953,10.8
23-03-09 06:52:34,29.053,1108.7
23-03-09 07:52:34,29.352,2755.6
23-03-09 08:52:34,29.452,9644.5
23-03-09 09:52:34,29.853,15155.7
23-03-09 10:52:34,29.152,1894.5
23-03-09 11:52:34,29.853,23422.4
23-03-09 12:52:34,29.652,4650.0
23-03-09 13:52:34,29.152,2152.8
23-03-09 14:52:34,29.252,2411.1
23-03-09 15:52:34,29.252,2583.4
23-03-09 16:52:34,29.053,1377.8
23-03-09 17:52:34,29.053,333.7
23-03-09 18:52:34,28.953,0.0
23-03-09 19:52:34,29.152,0.0
23-03-09 20:52:34,29.152,0.0
23-03-09 21:52:34,29.053,0.0
23-03-09 22:52:34,29.053,0.0
23-03-09 23:52:34,29.053,0.0
23-03-10 00:52:34,29.053,0.0
23-03-10 01:52:34,29.053,0.0
23-03-10 02:52:34,29.053,0.0
23-03-10 03:52:34,29.152,0.0
23-03-10 04:52:34,29.152,0.0
23-03-10 05:52:34,29.152,0.0
23-03-10 06:52:34,29.252,1377.8
23-03-10 07:52:34,29.452,4994.5
23-03-10 08:52:34,29.452,4305.6
23-03-10 09:52:34,29.652,9300.1
23-03-10 10:52:34,29.352,6200.0
23-03-10 11:52:34,29.352,5511.1
23-03-10 12:52:34,29.552,10677.8
23-03-10 13:52:34,29.552,8611.2
23-03-10 14:52:34,29.652,14466.8
23-03-10 15:52:34,29.352,2497.2
23-03-10 16:52:34,29.152,1054.9
23-03-10 17:52:34,29.152,236.8
23-03-10 18:52:34,29.053,0.0
23-03-10 19:52:34,29.053,0.0
23-03-10 20:52:34,29.053,0.0
23-03-10 21:52:34,28.853,0.0
23-03-10 22:52:34,28.853,0.0
23-03-10 23:52:34,28.953,0.0
23-03-11 00:52:34,28.953,0.0
23-03-11 01:52:34,29.053,0.0
23-03-11 02:52:34,29.053,0.0
23-03-11 03:52:34,29.053,0.0
23-03-11 04:52:34,28.953,0.0
23-03-11 05:52:34,28.953,0.0
23-03-11 06:52:34,28.953,914.9
23-03-11 07:52:34,29.352,3616.7
23-03-11 08:52:34,29.652,5511.1
23-03-11 09:52:34,29.252,1980.6
23-03-11 10:52:34,29.953,15844.5
23-03-11 11:52:34,29.252,3444.5
23-03-11 12:52:34,29.352,5338.9
23-03-11 13:52:34,29.752,11711.2
23-03-11 14:52:34,29.552,7577.8
23-03-11 15:52:34,29.352,3100.0
23-03-11 16:52:34,29.252,366.0
23-03-11 17:52:34,29.152,64.6
23-03-11 18:52:34,29.152,0.0
23-03-11 19:52:34,29.152,0.0
23-03-11 20:52:34,29.053,0.0
23-03-11 21:52:34,29.053,0.0
23-03-11 22:52:34,29.053,0.0
23-03-11 23:52:34,29.053,0.0
23-03-12 00:52:34,29.053,0.0
23-03-12 01:52:34,29.053,0.0
23-03-12 02:52:34,28.953,0.0
23-03-12 03:52:34,28.953,0.0
23-03-12 04:52:34,28.953,0.0
23-03-12 05:52:34,28.953,0.0
23-03-12 06:52:34,29.053,958.0
23-03-12 07:52:34,29.252,2927.8
23-03-12 08:52:34,29.452,6544.5
23-03-12 09:52:34,29.752,15155.7
23-03-12 10:52:34,29.752,12400.1
23-03-12 11:52:34,29.853,16533.4
23-03-12 12:52:34,29.752,26178.0
23-03-12 13:52:34,29.652,14466.8
23-03-12 14:52:34,29.552,12400.1
23-03-12 15:52:34,29.452,4822.3
23-03-12 16:52:34,29.152,2238.9
23-03-12 17:52:34,29.053,279.9
23-03-12 18:52:34,29.053,0.0
23-03-12 19:52:34,29.053,0.0
23-03-12 20:52:34,29.053,0.0
23-03-12 21:52:34,28.953,0.0
23-03-12 22:52:34,29.053,0.0
23-03-12 23:52:34,28.953,0.0
23-03-13 00:52:34,28.953,0.0
23-03-13 01:52:34,28.953,0.0
23-03-13 02:52:34,28.953,0.0
23-03-13 03:52:34,28.953,0.0
23-03-13 04:52:34,28.953,0.0
23-03-13 05:52:34,28.953,0.0
23-03-13 06:52:34,29.053,1011.8
23-03-13 07:52:34,29.252,3100.0
23-03-13 08:52:34,29.452,6544.5
23-03-13 09:52:34,29.752,18600.1
23-03-13 10:52:34,29.752,18600.1
23-03-13 11:52:34,29.953,17222.3
23-03-13 12:52:34,29.953,26178.0
23-03-13 13:52:34,29.853,12400.1
23-03-13 14:52:34,29.652,11022.3
23-03-13 15:52:34,29.452,6544.5
23-03-13 16:52:34,29.252,2497.2
23-03-13 17:52:34,29.152,322.9
23-03-13 18:52:34,29.152,0.0
23-03-13 19:52:34,29.452,0.0
23-03-13 20:52:34,29.452,0.0
23-03-13 21:52:34,29.252,0.0
23-03-13 22:52:34,29.252,0.0
23-03-13 23:52:34,29.452,0.0
23-03-14 00:52:34,29.152,0.0
23-03-14 01:52:34,29.352,0.0
23-03-14 02:52:34,29.252,0.0
23-03-14 03:52:34,29.152,0.0
23-03-14 04:52:34,29.152,0.0
