"Date Time, GMT-10:00","Temp, °C (LGR S/N: 21086844, SEN S/N: 21086844)","Intensity, Lux (LGR S/N: 21086844, SEN S/N: 21086844)"
23-03-16 12:53:35,26.781,43.1
23-03-16 13:53:35,29.752,247.6
23-03-16 14:53:35,33.639,667.4
23-03-16 15:53:35,29.853,15844.5
23-03-16 16:53:35,29.652,4994.5
23-03-16 17:53:35,29.352,592.0
23-03-16 18:53:35,29.252,0.0
23-03-16 19:53:35,29.252,0.0
23-03-16 20:53:35,29.352,0.0
23-03-16 21:53:35,29.252,0.0
23-03-16 22:53:35,29.252,0.0
23-03-16 23:53:35,29.252,0.0
23-03-17 00:53:35,29.252,0.0
23-03-17 01:53:35,29.252,0.0
23-03-17 02:53:35,29.252,0.0
23-03-17 03:53:35,29.252,0.0
23-03-17 04:53:35,29.152,0.0
23-03-17 05:53:35,29.252,0.0
23-03-17 06:53:35,29.352,1291.7
23-03-17 07:53:35,29.452,3788.9
23-03-17 08:53:35,29.652,5166.7
23-03-17 09:53:35,29.853,10333.4
23-03-17 10:53:35,29.552,6200.0
23-03-17 11:53:35,30.356,27555.7
23-03-17 12:53:35,29.953,16533.4
23-03-17 13:53:35,30.255,22044.6
23-03-17 14:53:35,30.255,34444.7
23-03-17 15:53:35,29.853,9644.5
23-03-17 16:53:35,29.552,5166.7
23-03-17 17:53:35,29.352,366.0
23-03-17 18:53:35,29.352,0.0
23-03-17 19:53:35,29.252,0.0
23-03-17 20:53:35,29.252,0.0
23-03-17 21:53:35,29.252,0.0
23-03-17 22:53:35,29.252,0.0
23-03-17 23:53:35,29.152,0.0
23-03-18 00:53:35,29.252,0.0
23-03-18 01:53:35,29.152,0.0
23-03-18 02:53:35,29.152,0.0
23-03-18 03:53:35,29.152,0.0
23-03-18 04:53:35,29.152,0.0
23-03-18 05:53:35,29.152,0.0
23-03-18 06:53:35,29.252,1463.9
23-03-18 07:53:35,29.452,3961.1
23-03-18 08:53:35,29.652,8266.7
23-03-18 09:53:35,29.652,10333.4
23-03-18 10:53:35,29.953,15844.5
23-03-18 11:53:35,29.853,14466.8
23-03-18 12:53:35,30.054,26178.0
23-03-18 13:53:35,30.356,44089.2
23-03-18 14:53:35,29.652,8611.2
23-03-18 15:53:35,29.552,4822.3
23-03-18 16:53:35,29.452,1894.5
23-03-18 17:53:35,29.252,247.6
23-03-18 18:53:35,29.252,0.0
23-03-18 19:53:35,29.252,0.0
23-03-18 20:53:35,29.252,0.0
23-03-18 21:53:35,29.252,0.0
23-03-18 22:53:35,29.252,0.0
23-03-18 23:53:35,29.252,0.0
23-03-19 00:53:35,29.252,0.0
23-03-19 01:53:35,29.152,0.0
23-03-19 02:53:35,29.152,0.0
23-03-19 03:53:35,29.152,0.0
23-03-19 04:53:35,29.152,0.0
23-03-19 05:53:35,29.152,0.0
23-03-19 06:53:35,29.152,1302.4
23-03-19 07:53:35,29.352,3272.2
23-03-19 08:53:35,29.452,4822.3
23-03-19 09:53:35,29.352,6200.0
23-03-19 10:53:35,29.552,11022.3
23-03-19 11:53:35,29.552,8611.2
23-03-19 12:53:35,29.552,9644.5
23-03-19 13:53:35,29.552,7577.8
23-03-19 14:53:35,29.452,6544.5
23-03-19 15:53:35,29.352,3444.5
23-03-19 16:53:35,29.252,1280.9
23-03-19 17:53:35,29.152,355.2
23-03-19 18:53:35,29.152,0.0
23-03-19 19:53:35,29.152,0.0
23-03-19 20:53:35,29.152,0.0
23-03-19 21:53:35,29.152,0.0
23-03-19 22:53:35,29.152,0.0
23-03-19 23:53:35,29.152,0.0
23-03-20 00:53:35,29.152,0.0
23-03-20 01:53:35,29.152,0.0
23-03-20 02:53:35,29.152,0.0
23-03-20 03:53:35,29.053,0.0
23-03-20 04:53:35,29.053,0.0
23-03-20 05:53:35,29.053,0.0
23-03-20 06:53:35,29.053,1141.0
23-03-20 07:53:35,29.152,4133.4
23-03-20 08:53:35,29.452,6544.5
23-03-20 09:53:35,29.752,10677.8
23-03-20 10:53:35,29.853,16533.4
23-03-20 11:53:35,29.953,20666.8
23-03-20 12:53:35,30.154,37200.2
23-03-20 13:53:35,30.255,24800.2
23-03-20 14:53:35,30.154,20666.8
23-03-20 15:53:35,29.853,11711.2
23-03-20 16:53:35,29.552,5166.7
23-03-20 17:53:35,29.352,473.6
23-03-20 18:53:35,29.352,0.0
23-03-20 19:53:35,29.252,0.0
23-03-20 20:53:35,29.252,0.0
23-03-20 21:53:35,29.152,0.0
23-03-20 22:53:35,29.152,0.0
23-03-20 23:53:35,29.252,0.0
23-03-21 00:53:35,29.252,0.0
23-03-21 01:53:35,29.152,0.0
23-03-21 02:53:35,29.152,0.0
23-03-21 03:53:35,29.053,0.0
23-03-21 04:53:35,29.053,0.0
23-03-21 05:53:35,29.053,0.0
23-03-21 06:53:35,29.152,1141.0
23-03-21 07:53:35,29.452,3444.5
23-03-21 08:53:35,29.552,5166.7
23-03-21 09:53:35,29.752,16533.4
23-03-21 10:53:35,29.953,18600.1
23-03-21 11:53:35,29.652,7233.4
23-03-21 12:53:35,29.953,23422.4
23-03-21 13:53:35,30.154,27555.7
23-03-21 14:53:35,30.154,11022.3
23-03-21 15:53:35,29.853,10677.8
23-03-21 16:53:35,29.652,4477.8
23-03-21 17:53:35,29.452,258.3
23-03-21 18:53:35,29.452,0.0
23-03-21 19:53:35,29.352,0.0
23-03-21 20:53:35,29.352,0.0
23-03-21 21:53:35,29.352,0.0
23-03-21 22:53:35,29.252,0.0
23-03-21 23:53:35,29.252,0.0
23-03-22 00:53:35,29.252,0.0
23-03-22 01:53:35,29.252,0.0
23-03-22 02:53:35,29.252,0.0
23-03-22 03:53:35,29.252,0.0
23-03-22 04:53:35,29.252,0.0
23-03-22 05:53:35,29.252,0.0
23-03-22 06:53:35,29.252,1108.7
23-03-22 07:53:35,29.452,2411.1
23-03-22 08:53:35,29.652,4994.5
23-03-22 09:53:35,29.752,9300.1
23-03-22 10:53:35,29.953,41333.6
23-03-22 11:53:35,30.255,21355.7
23-03-22 12:53:35,30.356,28933.5
23-03-22 13:53:35,30.356,28933.5
23-03-22 14:53:35,30.154,17222.3
23-03-22 15:53:35,29.853,12400.1
23-03-22 16:53:35,29.552,3961.1
23-03-22 17:53:35,29.352,387.5
23-03-22 18:53:35,29.652,0.0
23-03-22 19:53:35,29.552,0.0
23-03-22 20:53:35,29.552,0.0
23-03-22 21:53:35,29.552,0.0
23-03-22 22:53:35,29.552,0.0
23-03-22 23:53:35,29.452,0.0
23-03-23 00:53:35,29.452,0.0
23-03-23 01:53:35,29.352,0.0
23-03-23 02:53:35,29.352,0.0
23-03-23 03:53:35,29.352,0.0
23-03-23 04:53:35,29.352,0.0
23-03-23 05:53:35,29.352,0.0
23-03-23 06:53:35,29.352,1248.6
23-03-23 07:53:35,29.552,3616.7
23-03-23 08:53:35,29.652,5511.1
23-03-23 09:53:35,29.853,16533.4
23-03-23 10:53:35,30.054,12400.1
23-03-23 11:53:35,30.255,27555.7
23-03-23 12:53:35,30.356,17911.2
23-03-23 13:53:35,30.457,49600.3
23-03-23 14:53:35,30.255,15155.7
23-03-23 15:53:35,30.255,12400.1
23-03-23 16:53:35,29.953,4477.8
23-03-23 17:53:35,29.652,269.1
23-03-23 18:53:35,29.552,0.0
23-03-23 19:53:35,29.452,0.0
23-03-23 20:53:35,29.452,0.0
23-03-23 21:53:35,29.452,0.0
23-03-23 22:53:35,29.352,0.0
23-03-23 23:53:35,29.352,0.0
23-03-24 00:53:35,29.452,0.0
23-03-24 01:53:35,29.452,0.0
23-03-24 02:53:35,29.352,0.0
23-03-24 03:53:35,29.352,0.0
23-03-24 04:53:35,29.352,0.0
23-03-24 05:53:35,29.352,0.0
23-03-24 06:53:35,29.352,1033.3
23-03-24 07:53:35,29.552,3444.5
23-03-24 08:53:35,29.752,5166.7
23-03-24 09:53:35,29.953,6544.5
23-03-24 10:53:35,30.054,11022.3
23-03-24 11:53:35,30.255,27555.7
23-03-24 12:53:35,30.255,22044.6
23-03-24 13:53:35,30.255,18600.1
23-03-24 14:53:35,30.154,30311.3
23-03-24 15:53:35,29.953,14466.8
23-03-24 16:53:35,29.752,2755.6
23-03-24 17:53:35,29.452,430.6
23-03-24 18:53:35,29.352,0.0
23-03-24 19:53:35,29.252,0.0
23-03-24 20:53:35,29.252,0.0
23-03-24 21:53:35,29.352,0.0
23-03-24 22:53:35,29.452,0.0
