"Date Time, GMT-10:00","Temp, °C (LGR S/N: 20422007, SEN S/N: 20422007)","Intensity, Lux (LGR S/N: 20422007, SEN S/N: 20422007)"
23-03-08 09:08:47,28.357,32.3
23-03-08 09:23:47,27.961,193.8
23-03-08 09:38:47,28.357,193.8
23-03-08 09:53:47,28.655,1636.1
23-03-08 10:08:47,28.853,1054.9
23-03-08 10:23:47,29.252,1722.2
23-03-08 10:38:47,29.452,1550.0
23-03-08 10:53:47,29.752,1980.6
23-03-08 11:08:47,30.054,2066.7
23-03-08 11:23:47,29.853,1808.3
23-03-08 11:38:47,29.552,2238.9
23-03-08 11:53:47,29.252,2411.1
23-03-08 12:08:47,29.152,2325.0
23-03-08 12:23:47,29.053,2325.0
23-03-08 12:38:47,28.953,2325.0
23-03-08 12:53:47,28.853,409.0
23-03-08 13:08:47,28.754,1463.9
23-03-08 13:23:47,29.452,21.5
23-03-08 13:38:47,28.456,10.8
23-03-08 13:53:47,32.188,301.4
23-03-08 14:08:47,34.374,1054.9
23-03-08 14:23:47,34.058,775.0
23-03-08 14:38:47,34.374,150.7
23-03-08 14:53:47,37.055,2497.2
23-03-08 15:08:47,38.490,1808.3
23-03-08 15:23:47,40.185,4994.5
23-03-08 15:38:47,39.615,968.8
23-03-08 15:53:47,36.728,154312.1
23-03-08 16:08:47,29.352,1377.8
23-03-08 16:23:47,29.053,2238.9
23-03-08 16:38:47,28.953,1636.1
23-03-08 16:53:47,28.953,979.5
23-03-08 17:08:47,29.252,1022.6
23-03-08 17:23:47,29.152,1097.9
23-03-08 17:38:47,29.053,592.0
23-03-08 17:53:47,29.053,387.5
23-03-08 18:08:47,29.053,183.0
23-03-08 18:23:47,28.953,21.5
23-03-08 18:38:47,29.053,0.0
23-03-08 18:53:47,28.953,0.0
23-03-08 19:08:47,28.953,0.0
23-03-08 19:23:47,28.953,0.0
23-03-08 19:38:47,28.953,0.0
23-03-08 19:53:47,28.853,0.0
23-03-08 20:08:47,28.953,0.0
23-03-08 20:23:47,28.853,0.0
23-03-08 20:38:47,28.953,0.0
23-03-08 20:53:47,28.853,0.0
23-03-08 21:08:47,28.953,0.0
23-03-08 21:23:47,28.853,0.0
23-03-08 21:38:47,28.853,0.0
23-03-08 21:53:47,28.853,0.0
23-03-08 22:08:47,28.853,0.0
23-03-08 22:23:47,28.853,0.0
23-03-08 22:38:47,28.953,0.0
23-03-08 22:53:47,28.953,0.0
23-03-08 23:08:47,28.953,0.0
23-03-08 23:23:47,28.853,0.0
23-03-08 23:38:47,28.853,0.0
23-03-08 23:53:47,28.953,0.0
23-03-09 00:08:47,28.953,0.0
23-03-09 00:23:47,28.953,0.0
23-03-09 00:38:47,28.953,0.0
23-03-09 00:53:47,28.953,0.0
23-03-09 01:08:47,28.953,0.0
23-03-09 01:23:47,28.953,0.0
23-03-09 01:38:47,28.853,0.0
23-03-09 01:53:47,28.853,0.0
23-03-09 02:08:47,28.853,0.0
23-03-09 02:23:47,28.853,0.0
23-03-09 02:38:47,28.853,0.0
23-03-09 02:53:47,28.853,0.0
23-03-09 03:08:47,28.853,0.0
23-03-09 03:23:47,28.853,0.0
23-03-09 03:38:47,28.853,0.0
23-03-09 03:53:47,28.853,0.0
23-03-09 04:08:47,28.853,0.0
23-03-09 04:23:47,28.853,0.0
23-03-09 04:38:47,28.853,0.0
23-03-09 04:53:47,28.853,0.0
23-03-09 05:08:47,28.853,0.0
23-03-09 05:23:47,28.853,0.0
23-03-09 05:38:47,28.853,0.0
23-03-09 05:53:47,28.853,10.8
23-03-09 06:08:47,28.853,150.7
23-03-09 06:23:47,28.953,366.0
23-03-09 06:38:47,28.953,613.5
23-03-09 06:53:47,28.953,807.3
23-03-09 07:08:47,28.953,1054.9
23-03-09 07:23:47,28.953,1270.1
23-03-09 07:38:47,29.053,1722.2
23-03-09 07:53:47,29.053,1076.4
23-03-09 08:08:47,29.053,2238.9
23-03-09 08:23:47,29.152,2238.9
23-03-09 08:38:47,29.152,3272.2
23-03-09 08:53:47,29.152,4650.0
23-03-09 09:08:47,29.252,7233.4
23-03-09 09:23:47,29.252,10333.4
23-03-09 09:38:47,29.352,5166.7
23-03-09 09:53:47,29.452,12400.1
23-03-09 10:08:47,29.252,4822.3
23-03-09 10:23:47,29.252,5166.7
23-03-09 10:38:47,29.053,2669.5
23-03-09 10:53:47,29.053,2411.1
23-03-09 11:08:47,29.152,6200.0
23-03-09 11:23:47,29.452,6200.0
23-03-09 11:38:47,29.452,10333.4
